X-Position w/ Air Resistance(m),Y-Position w/ Air Resistance(m),X-Position w/ No Air Resistance, Y-Position w/ No Air Resistance
29.832327699876284,0.7956933876612045,29.671189530534775,0.792988231091387,
30.21479343961829,0.80159952995622,30.04950468142033,0.7988261093668394,
30.597259179360293,0.8074958656012354,30.42776725015392,0.8046533702650638,
30.979724919102296,0.8133823945962508,30.805977244044243,0.8104700152616839,
31.362190658844302,0.8192591169412662,31.184134670399544,0.8162760458325995,
31.744656398586304,0.8251260326362817,31.56223953652534,0.8220714634527908,
32.12712213832831,0.8309831416812972,31.9402918497276,0.8278562695974219,
32.50958787807031,0.8368304440763126,32.318291617310024,0.8336304657413809,
32.892053617812316,0.8426679398213279,32.69623884657585,0.839394053359648,
33.27451935755432,0.8484956289163434,33.07413354482833,0.8451470339261924,
33.65698509729632,0.8543135113613589,33.451975719367965,0.8508894089155346,
34.03945083703832,0.8601215871563743,33.82976537749573,0.8566211798019188,
